pi_stress --duration=5 
04-05-2018 00:23:30

# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.541 us    |                      } /* page_remove_rmap */
 0)               |                              pick_next_entity() {
 0)   0.500 us    |                                wakeup_preempt_entity();
 0)   0.500 us    |                                clear_buddies();
 0)   9.458 us    |                              }
 0)               |                              put_prev_entity() {
 0)               |                                update_curr() {
 0)   0.459 us    |                                  update_min_vruntime();
 0)               |                                  cpuacct_charge() {
 0)   0.459 us    |                                    __rcu_read_lock();
 0)   0.458 us    |                                    __rcu_read_unlock();
 0)   7.292 us    |                                  }
 0) + 13.542 us   |                                }
 0)   0.667 us    |                                check_spread();
 0)   0.541 us    |                                __enqueue_entity();
 0) + 23.417 us   |                              }
 0)               |                              put_prev_entity() {
 0)               |                                update_curr() {
 0)   0.500 us    |                                  update_min_vruntime();
 0)   3.583 us    |                                }
 0)   0.458 us    |                                check_spread();
 0)   0.500 us    |                                __enqueue_entity();
 0) + 12.666 us   |                              }
 0)               |                              put_prev_entity() {
 0)   0.500 us    |                                update_curr();
 0)   0.458 us    |                                check_spread();
 0)   0.500 us    |                                __enqueue_entity();
 0)   0.458 us    |                                dbs_update_util_handler();
 0) + 12.667 us   |                              }
 0)               |                              set_next_entity() {
 0)   0.459 us    |                                dbs_update_util_handler();
 0)   3.792 us    |                              }
 0) + 82.916 us   |                            }
 0)   0.917 us    |                            switch_kmaps();
 0)               |                            atomic_notifier_call_chain() {
 0)   0.459 us    |                              __rcu_read_lock();
 0)               |                              notifier_call_chain() {
 0)   0.542 us    |                                vfp_notifier();
 0)   0.667 us    |                                thumbee_notifier();
 0)   6.792 us    |                              }
 0)   0.458 us    |                              __rcu_read_unlock();
 0) + 16.208 us   |                            }
 ------------------------------------------
 0)  wicd-mo-987   =>   rcu_pre-9   
 ------------------------------------------

 0)               |      finish_task_switch() {
 0)   0.750 us    |        preempt_count_sub();
 0)   3.792 us    |      }
 0)   0.458 us    |      preempt_count_sub();
 0) # 4067.500 us |    } /* schedule */
 0)               |    del_timer_sync() {
 0)               |      try_to_del_timer_sync() {
 0)               |        lock_timer_base() {
 0)   0.792 us    |          preempt_count_add();
 0)   4.083 us    |        }
 0)   1.500 us    |        detach_if_pending();
 0)   0.458 us    |        preempt_count_sub();
 0) + 15.792 us   |      }
 0) + 19.875 us   |    }
 0) # 4126.542 us |  } /* schedule_timeout */
 0)               |  prepare_to_swait_event() {
 0)               |    prepare_to_swait() {
 0)   0.500 us    |      preempt_count_add();
 0)   0.791 us    |      __prepare_to_swait();
 0)   0.500 us    |      preempt_count_sub();
 0) + 11.292 us   |    }
 0) + 14.875 us   |  }
 0)               |  finish_swait() {
 0)   0.459 us    |    preempt_count_add();
 0)   0.500 us    |    preempt_count_sub();
 0)   7.333 us    |  }
 0)   0.458 us    |  preempt_count_add();
 0)   0.500 us    |  preempt_count_sub();
 0)   0.458 us    |  preempt_count_add();
 0)               |  __note_gp_changes() {
 0)               |    rcu_advance_cbs() {
 0)   0.417 us    |      rcu_segcblist_pend_cbs();
 0)   0.708 us    |      rcu_segcblist_advance();
 0)               |      rcu_accelerate_cbs() {
 0)   0.458 us    |        rcu_segcblist_pend_cbs();
 0)   0.916 us    |        rcu_segcblist_accelerate();
 0)   0.459 us    |        rcu_segcblist_accelerate();
 0)   0.708 us    |        cpu_needs_another_gp();
 0) + 15.708 us   |      }
 0) + 27.125 us   |    }
 0) + 31.166 us   |  }
 0)   0.667 us    |  preempt_count_sub();
 0)   0.542 us    |  rcu_all_qs();
 0)   0.500 us    |  preempt_count_add();
 0)               |  rcu_advance_cbs() {
 0)   0.459 us    |    rcu_segcblist_pend_cbs();
 0)   0.459 us    |    rcu_segcblist_advance();
 0)               |    rcu_accelerate_cbs() {
 0)   0.459 us    |      rcu_segcblist_pend_cbs();
 0)   0.500 us    |      rcu_segcblist_accelerate();
 0)   6.542 us    |    }
 0) + 15.792 us   |  }
 0)   0.500 us    |  cpu_needs_another_gp();
 0)   0.458 us    |  preempt_count_sub();
 0)   0.542 us    |  preempt_count_add();
 0)   0.666 us    |  rcu_jiffies_till_stall_check();
 0)   0.458 us    |  preempt_count_sub();
 0)   0.542 us    |  preempt_count_add();
 0)   0.458 us    |  preempt_count_sub();
 0)   0.542 us    |  preempt_count_add();
 0)               |  __note_gp_changes() {
 0)               |    rcu_accelerate_cbs() {
 0)   0.417 us    |      rcu_segcblist_pend_cbs();
 0)   0.500 us    |      rcu_segcblist_accelerate();
 0)   6.584 us    |    }
 0)   9.916 us    |  }
 0)   0.500 us    |  preempt_count_sub();
 0)   0.500 us    |  rcu_all_qs();
 0)               |  prepare_to_swait_event() {
 0)               |    prepare_to_swait() {
 0)   0.458 us    |      preempt_count_add();
 0)   0.583 us    |      __prepare_to_swait();
 0)   0.500 us    |      preempt_count_sub();
 0) + 10.250 us   |    }
 0) + 13.625 us   |  }
 0)               |  schedule_timeout() {
 0)   0.709 us    |    init_timer_key();
 0)               |    lock_timer_base() {
 0)   0.500 us    |      preempt_count_add();
 0)   3.542 us    |    }
 0)   0.458 us    |    detach_if_pending();
 0)               |    __internal_add_timer() {
 0)   0.834 us    |      calc_wheel_index();
 0)   0.666 us    |      enqueue_timer();
 0)   7.667 us    |    }
 0)   0.709 us    |    trigger_dyntick_cpu();
 0)   0.458 us    |    preempt_count_sub();
 0)               |    schedule() {
 0)   0.542 us    |      preempt_count_add();
 0)               |      rcu_note_context_switch() {
 0)   0.500 us    |        rcu_sched_qs();
 0)   0.792 us    |        rcu_preempt_qs();
 0)   7.000 us    |      }
 0)   0.458 us    |      preempt_count_add();
 0)   0.791 us    |      update_rq_clock();
 0)               |      deactivate_task() {
 0)               |        dequeue_task_fair() {
 0)               |          dequeue_entity() {
 0)               |            update_curr() {
 0)   0.459 us    |              update_min_vruntime();
 0)               |              cpuacct_charge() {
 0)   0.459 us    |                __rcu_read_lock();
 0)   0.500 us    |                __rcu_read_unlock();
 0)   8.208 us    |              }
 0) + 15.000 us   |            }
 0)   0.458 us    |            dbs_update_util_handler();
 0)   0.458 us    |            clear_buddies();
 0)   0.459 us    |            update_cfs_shares();
 0) + 28.292 us   |          }
 0)   0.417 us    |          hrtick_update();
 0) + 35.500 us   |        }
 0) + 38.667 us   |      }
 0)               |      pick_next_task_fair() {
 0)               |        pick_next_entity() {
 0)   0.458 us    |          clear_buddies();
 0)   3.625 us    |        }
 0)               |        pick_next_entity() {
 0)   0.417 us    |          clear_buddies();
 0)   3.500 us    |        }
 0)               |        pick_next_entity() {
 0)   0.417 us    |          clear_buddies();
 0)   3.500 us    |        }
 0)   0.750 us    |        set_next_entity();
 0)   0.583 us    |        set_next_entity();
 0)               |        put_prev_entity() {
 0)   0.458 us    |          check_spread();
 0)   3.291 us    |        }
 0)               |        set_next_entity() {
 0)   0.458 us    |          dbs_update_util_handler();
 0)   3.666 us    |        }
 0) + 38.375 us   |      }
 0)   0.750 us    |      switch_kmaps();
 0)               |      atomic_notifier_call_chain() {
 0)   0.459 us    |        __rcu_read_lock();
 0)               |        notifier_call_chain() {
 0)   0.541 us    |          vfp_notifier();
 0)   0.500 us    |          thumbee_notifier();
 0)   7.083 us    |        }
 0)   0.458 us    |        __rcu_read_unlock();
 0) + 16.500 us   |      }
 ------------------------------------------
 0)   rcu_pre-9    =>  wicd-mo-987  
 ------------------------------------------

 0)               |                            finish_task_switch() {
 0)   0.500 us    |                              preempt_count_sub();
 0)   3.584 us    |                            }
 0)   0.459 us    |                          }
 0) ! 599.750 us  |                        }
 0) ! 603.375 us  |                      }
 0) ! 610.375 us  |                    }
 0) ! 614.625 us  |                  }
 0) ! 623.916 us  |                } /* rcu_read_unlock_special */
 0) ! 627.750 us  |              } /* __rcu_read_unlock */
 0) * 11361.66 us |            } /* sock_def_readable */
 0)   0.500 us    |            put_pid();
 0) * 11460.33 us |          } /* unix_stream_sendmsg */
 0) * 11469.00 us |        } /* sock_sendmsg */
 0)   1.125 us    |        kfree();
 0) * 11491.16 us |      } /* ___sys_sendmsg */
 0) * 11508.87 us |    } /* __sys_sendmsg */
 0) * 11512.25 us |  } /* SyS_sendmsg */
 0)               |  SyS_clock_gettime() {
 0)   0.667 us    |    clockid_to_kclock.part.0();
 0)               |    posix_ktime_get_ts() {
 0)               |      ktime_get_ts64() {
 0)   0.625 us    |        clocksource_read_cycles();
 0)   5.792 us    |      }
 0)   9.208 us    |    }
 0)   2.208 us    |    put_timespec64();
 0) + 22.458 us   |  }
 0)               |  SyS_poll() {
 0)               |    poll_select_set_timeout() {
 0)               |      ktime_get_ts64() {
 0)   0.625 us    |        clocksource_read_cycles();
 0)   4.209 us    |      }
 0)   1.208 us    |      timespec64_add_safe();
 0) + 12.542 us   |    }
 0)               |    do_sys_poll() {
 0)               |      select_estimate_accuracy() {
 0)               |        ktime_get_ts64() {
 0)   0.625 us    |          clocksource_read_cycles();
 0)   6.000 us    |        }
 0)   0.917 us    |        set_normalized_timespec64();
 0) + 15.041 us   |      }
 0)               |      __fdget() {
 0)   1.667 us    |        __fget_light();
 0)   4.791 us    |      }
 0)               |      sock_poll() {
 0)               |        unix_poll() {
 0)               |          __pollwait() {
 0)               |            add_wait_queue() {
 0)   0.708 us    |              rt_spin_lock();
 0)   0.709 us    |              rt_spin_unlock();
 0)   7.666 us    |            }
 0) + 12.166 us   |          }
 0) + 17.041 us   |        }
 0) + 21.166 us   |      }
 0)               |      poll_schedule_timeout() {
 0)               |        schedule_hrtimeout_range() {
 0)               |          schedule_hrtimeout_range_clock() {
 0)               |            hrtimer_init_sleeper() {
 0)   1.500 us    |              __hrtimer_init();
 0)   6.083 us    |            }
 0)               |            hrtimer_start_range_ns() {
 0)   0.458 us    |              preempt_count_add();
 0)   1.708 us    |              enqueue_hrtimer();
 0)   0.542 us    |              preempt_count_sub();
 0) + 13.125 us   |            }
 0)               |            schedule() {
 0)   0.500 us    |              preempt_count_add();
 0)               |              rcu_note_context_switch() {
 0)   0.541 us    |                rcu_sched_qs();
 0)   0.500 us    |                rcu_preempt_qs();
 0)   7.375 us    |              }
 0)   0.500 us    |              preempt_count_add();
 0)   0.833 us    |              update_rq_clock();
 0)               |              deactivate_task() {
 0)               |                dequeue_task_fair() {
 0)               |                  dequeue_entity() {
 0)               |                    update_curr() {
 0)   0.792 us    |                      update_min_vruntime();
 0)               |                      cpuacct_charge() {
 0)   0.458 us    |                        __rcu_read_lock();
 0)   0.500 us    |                        __rcu_read_unlock();
 0)   7.167 us    |                      }
 0) + 14.166 us   |                    }
 0)   0.708 us    |                    clear_buddies();
 0)   0.458 us    |                    update_cfs_shares();
 0) + 24.541 us   |                  }
 0)   0.500 us    |                  set_next_buddy();
 0)   0.667 us    |                  update_cfs_shares();
 0)   0.500 us    |                  dbs_update_util_handler();
 0)   0.500 us    |                  update_cfs_shares();
 0)   0.459 us    |                  hrtick_update();
 0) + 44.375 us   |                }
 0) + 47.666 us   |              }
 0)               |              pick_next_task_fair() {
 0)               |                update_curr() {
 0)   0.459 us    |                  update_min_vruntime();
 0)   3.584 us    |                }
 0)               |                pick_next_entity() {
 0)   0.500 us    |                  wakeup_preempt_entity();
 0)   0.709 us    |                  clear_buddies();
 0)   7.167 us    |                }
 0)               |                update_curr() {
 0)   0.459 us    |                  update_min_vruntime();
 0)   3.459 us    |                }
 0)               |                pick_next_entity() {
 0)   0.459 us    |                  wakeup_preempt_entity();
 0)   0.542 us    |                  clear_buddies();
 0)   6.834 us    |                }
 0)               |                pick_next_entity() {
 0)   0.458 us    |                  clear_buddies();
 0)   3.542 us    |                }
 0)               |                put_prev_entity() {
 0)   0.458 us    |                  check_spread();
 0)   3.542 us    |                }
 0)   0.666 us    |                set_next_entity();
 0) + 50.209 us   |              }
 0)   2.875 us    |              check_and_switch_context();
 0)   0.667 us    |              switch_kmaps();
 0)               |              atomic_notifier_call_chain() {
 0)   0.458 us    |                __rcu_read_lock();
 0)               |                notifier_call_chain() {
 0)   0.750 us    |                  vfp_notifier();
 0)   0.500 us    |                  thumbee_notifier();
 0)   7.292 us    |                }
 0)   0.458 us    |                __rcu_read_unlock();
 0) + 16.833 us   |              }
 ------------------------------------------
 0)  wicd-mo-987   =>    wicd-976   
 ------------------------------------------

 0)               |                                finish_task_switch() {
 0)   0.750 us    |                                  preempt_count_sub();
 0)   4.292 us    |                                }
 0)   0.459 us    |                              } /* preempt_count_sub */
 0) # 2795.958 us |                            } /* try_to_wake_up */
 0) # 2799.083 us |                          } /* default_wake_function */
 0) # 2802.958 us |                        } /* __wake_up_common */
 0) # 2806.250 us |                      } /* __wake_up_locked */
 0)               |                      rt_spin_unlock() {
 0)               |                        rt_spin_lock_slowunlock() {
 0)   0.500 us    |                          preempt_count_add();
 0)               |                          mark_wakeup_next_waiter() {
 0)   0.500 us    |                            preempt_count_add();
 0)               |                            rt_mutex_setprio() {
 0)               |                              __task_rq_lock() {
 0)   0.500 us    |                                preempt_count_add();
 0)   3.750 us    |                              }
 0)   0.834 us    |                              update_rq_clock();
 0)   0.458 us    |                              preempt_count_add();
 0)   0.459 us    |                              preempt_count_sub();
 0)   0.459 us    |                              preempt_count_sub();
 0) + 19.875 us   |                            }
 0)   0.459 us    |                            preempt_count_add();
 0)   1.083 us    |                            __wake_q_add();
 0)   0.459 us    |                            preempt_count_sub();
 0) + 37.833 us   |                          }
 0)   0.458 us    |                          preempt_count_sub();
 0)               |                          rt_mutex_postunlock() {
 0)   0.667 us    |                            __wake_up_q();
 0)               |                            __wake_up_q() {
 0)               |                              try_to_wake_up() {
 0)   0.458 us    |                                preempt_count_add();
 0)   0.458 us    |                                preempt_count_add();
 0)   0.792 us    |                                update_rq_clock();
 0)               |                                activate_task() {
 0)               |                                  enqueue_task_fair() {
 0)               |                                    enqueue_entity() {
 0)   0.500 us    |                                      update_curr();
 0)   0.458 us    |                                      update_cfs_shares();
 0)   0.459 us    |                                      check_spread();
 0)   1.041 us    |                                      __enqueue_entity();
 0) + 15.542 us   |                                    }
 0)               |                                    enqueue_entity() {
 0)               |                                      update_curr() {
 0)   0.542 us    |                                        update_min_vruntime();
 0)   3.792 us    |                                      }
 0)   0.500 us    |                                      update_cfs_shares();
 0)   0.459 us    |                                      check_spread();
 0)   0.750 us    |                                      __enqueue_entity();
 0) + 16.417 us   |                                    }
 0)   0.541 us    |                                    dbs_update_util_handler();
 0)   0.459 us    |                                    update_cfs_shares();
 0)   0.458 us    |                                    hrtick_update();
 0) + 49.375 us   |                                  }
 0) + 52.500 us   |                                }
 0)               |                                check_preempt_curr() {
 0)               |                                  check_preempt_wakeup() {
 0)   0.458 us    |                                    update_curr();
 0)   0.500 us    |                                    wakeup_preempt_entity();
 0)   0.500 us    |                                    set_next_buddy();
 0)   0.833 us    |                                    resched_curr_lazy();
 0) + 15.416 us   |                                  }
 0) + 18.500 us   |                                }
 0)   1.250 us    |                                ttwu_do_wakeup.part.20();
 0)   0.500 us    |                                preempt_count_sub();
 0)   0.459 us    |                                preempt_count_sub();
 0) + 97.166 us   |                              }
 0) ! 100.708 us  |                            }
 0)               |                            preempt_count_sub() {
 0)               |                              rcu_note_context_switch() {
 0)   0.500 us    |                                rcu_sched_qs();
 0)   0.541 us    |                                rcu_preempt_qs();
 0)   7.208 us    |                              }
 0)   0.458 us    |                              preempt_count_add();
 0)   0.833 us    |                              update_rq_clock();
 0)               |                              pick_next_task_fair() {
 0)               |                                update_curr() {
 0)   0.459 us    |                                  update_min_vruntime();
 0)   3.542 us    |                                }
 0)               |                                pick_next_entity() {
 0)   0.708 us    |                                  wakeup_preempt_entity();
 0)   0.500 us    |                                  clear_buddies();
 0)   6.958 us    |                                }
 0)               |                                update_curr() {
 0)   0.458 us    |                                  update_min_vruntime();
 0)   3.541 us    |                                }
 0)               |                                pick_next_entity() {
 0)   0.458 us    |                                  wakeup_preempt_entity();
 0)   0.500 us    |                                  clear_buddies();
 0)   6.833 us    |                                }
 0)               |                                pick_next_entity() {
 0)   0.458 us    |                                  clear_buddies();
 0)   3.500 us    |                                }
 0)               |                                put_prev_entity() {
 0)               |                                  update_curr() {
 0)   0.500 us    |                                    update_min_vruntime();
 0)               |                                    cpuacct_charge() {
 0)   0.459 us    |                                      __rcu_read_lock();
 0)   0.458 us    |                                      __rcu_read_unlock();
 0)   6.916 us    |                                    }
 0) + 13.500 us   |                                  }
 0)   0.458 us    |                                  check_spread();
 0)   0.750 us    |                                  __enqueue_entity();
 0) + 23.209 us   |                                }
 0)   0.625 us    |                                set_next_entity();
 0)               |                                put_prev_entity() {
 0)   0.459 us    |                                  update_curr();
 0)   0.459 us    |                                  check_spread();
 0)   0.542 us    |                                  __enqueue_entity();
 0)   9.542 us    |                                }
 0)   0.833 us    |                                set_next_entity();
 0) + 83.834 us   |                              }
 0)   1.875 us    |                              check_and_switch_context();
 0)   0.583 us    |                              switch_kmaps();
 0)               |                              atomic_notifier_call_chain() {
 0)   0.459 us    |                                __rcu_read_lock();
 0)               |                                notifier_call_chain() {
 0)   1.208 us    |                                  vfp_notifier();
 0)   0.667 us    |                                  thumbee_notifier();
 0)   7.709 us    |                                }
 0)   0.458 us    |                                __rcu_read_unlock();
 0) + 17.250 us   |                              }
 ------------------------------------------
 0)    wicd-976    =>  dbus-da-499  
 ------------------------------------------

 0)               |            finish_task_switch() {
 0)   0.791 us    |              preempt_count_sub();
 0)   4.750 us    |            }
 0)   0.458 us    |            preempt_count_sub();
 0) # 2735.125 us |          } /* schedule */
 0)   0.542 us    |          preempt_count_add();
 0)   0.459 us    |          preempt_count_add();
 0)   0.458 us    |          preempt_count_sub();
 0)               |          __try_to_take_rt_mutex() {
 0)   0.458 us    |            preempt_count_add();
 0)   0.458 us    |            preempt_count_sub();
 0)   8.666 us    |          }
 0)   0.458 us    |          preempt_count_add();
 0)   0.458 us    |          preempt_count_sub();
 0)   0.458 us    |          fixup_rt_mutex_waiters.part.0();
 0) # 2840.959 us |        } /* rt_spin_lock_slowlock_locked */
 0)   0.500 us    |        preempt_count_sub();
 0) # 2851.375 us |      } /* rt_spin_lock_slowlock */
 0) # 2855.208 us |    } /* rt_spin_lock */
 0)   0.500 us    |    rt_spin_unlock();
 0)               |    ep_scan_ready_list.constprop.0() {
 0)               |      _mutex_lock() {
 0)   0.458 us    |        __rt_mutex_lock_state();
 0)   3.500 us    |      }
 0)   0.500 us    |      rt_spin_lock();
 0)   0.500 us    |      rt_spin_unlock();
 0)               |      ep_send_events_proc() {
 0)               |        sock_poll() {
 0)   1.167 us    |          unix_poll();
 0)   4.583 us    |        }
 0) + 11.208 us   |      }
 0)   0.458 us    |      rt_spin_lock();
 0)   0.458 us    |      __pm_relax();
 0)   0.459 us    |      rt_spin_unlock();
 0)               |      _mutex_unlock() {
 0)   0.958 us    |        __rt_mutex_unlock();
 0)   3.958 us    |      }
 0) + 46.000 us   |    }
 0) # 8199.459 us |  } /* SyS_epoll_wait */
 0)               |  SyS_clock_gettime() {
 0)   0.458 us    |    clockid_to_kclock.part.0();
 0)               |    posix_ktime_get_ts() {
 0)               |      ktime_get_ts64() {
 0)   0.625 us    |        clocksource_read_cycles();
 0)   4.250 us    |      }
 0)   7.292 us    |    }
 0)   1.042 us    |    put_timespec64();
 0) + 17.875 us   |  }
 0)               |  SyS_recvmsg() {
 0)               |    __sys_recvmsg() {
 0)               |      sockfd_lookup_light() {
 0)               |        __fdget() {
 0)   1.208 us    |          __fget_light();
 0)   4.250 us    |        }
 0)   7.958 us    |      }
 0)               |      ___sys_recvmsg() {
 0)               |        copy_msghdr_from_user() {
 0)   1.791 us    |          rw_copy_check_uvector();
 0)   6.625 us    |        }
 0)               |        sock_recvmsg() {
 0)   0.750 us    |          security_socket_recvmsg();
 0)               |          unix_stream_recvmsg() {
 0)               |            unix_stream_read_generic() {
 0)               |              _mutex_lock() {
 0)   0.666 us    |                __rt_mutex_lock_state();
 0)   3.708 us    |              }
 0)   0.625 us    |              rt_spin_lock();
 0)   0.500 us    |              rt_spin_unlock();
 0)               |              unix_stream_read_actor() {
 0)   3.375 us    |                skb_copy_datagram_iter();
 0)   6.875 us    |              }
 0)   0.750 us    |              consume_skb();
 0)               |              skb_unlink() {
 0)   0.500 us    |                rt_spin_lock();
 0)   0.500 us    |                rt_spin_unlock();
 0)   6.875 us    |              }
 0)               |              consume_skb() {
 0)               |                skb_release_all() {
 0)               |                  skb_release_head_state() {
 0)               |                    unix_destruct_scm() {
 0)   0.708 us    |                      put_pid();
 0)               |                      sock_wfree() {
 0)               |                        unix_write_space() {
 0)   0.833 us    |                          __rcu_read_lock();
 0)   0.500 us    |                          __rcu_read_unlock();
 0)   7.583 us    |                        }
 0) + 13.416 us   |                      }
 0) + 20.334 us   |                    }
 0) + 24.291 us   |                  }
 0)               |                  skb_release_data() {
 0)               |                    skb_free_head() {
 0)   1.542 us    |                      kfree();
 0)   4.625 us    |                    }
 0)   8.583 us    |                  }
 0) + 39.042 us   |                }
 0)               |                kfree_skbmem() {
 0)   2.208 us    |                  kmem_cache_free();
 0)   6.084 us    |                }
 0) + 51.917 us   |              }
 0)   0.500 us    |              rt_spin_lock();
 0)   0.500 us    |              rt_spin_unlock();
 0)               |              _mutex_unlock() {
 0)   0.500 us    |                __rt_mutex_unlock();
 0)   3.292 us    |              }
 0)   0.500 us    |              put_pid();
 0) ! 112.375 us  |            }
 0) ! 117.000 us  |          }
 0) ! 124.667 us  |        }
 0)   0.500 us    |        kfree();
 0) ! 141.833 us  |      }
 0) ! 156.333 us  |    }
 0) ! 159.292 us  |  }
 0)               |  SyS_recvmsg() {
 0)               |    __sys_recvmsg() {
 0)               |      sockfd_lookup_light() {
 0)               |        __fdget() {
 0)   0.542 us    |          __fget_light();
 0)   3.667 us    |        }
 0)   6.708 us    |      }
 0)               |      ___sys_recvmsg() {
 0)               |        copy_msghdr_from_user() {
 0)   1.000 us    |          rw_copy_check_uvector();
 0)   4.875 us    |        }
 0)               |        sock_recvmsg() {
 0)   0.750 us    |          security_socket_recvmsg();
 0)               |          unix_stream_recvmsg() {
 0)               |            unix_stream_read_generic() {
 0)               |              _mutex_lock() {
 0)   0.500 us    |                __rt_mutex_lock_state();
 0)   3.291 us    |              }
 0)   0.459 us    |              rt_spin_lock();
 0)   0.458 us    |              rt_spin_unlock();
 0)               |              _mutex_unlock() {
 0)   0.500 us    |                __rt_mutex_unlock();
 0)   3.583 us    |              }
 0)   0.458 us    |              put_pid();
 0) + 22.875 us   |            }
 0) + 25.959 us   |          }
 0) + 32.875 us   |        }
 0)   0.500 us    |        kfree();
 0) + 46.917 us   |      }
 0) + 59.833 us   |    }
 0) + 63.166 us   |  }
 0)               |  SyS_sendmsg() {
 0)               |    __sys_sendmsg() {
 0)               |      sockfd_lookup_light() {
 0)               |        __fdget() {
 0)   1.542 us    |          __fget_light();
 0)   4.875 us    |        }
 0)   8.458 us    |      }
 0)               |      ___sys_sendmsg() {
 0)               |        copy_msghdr_from_user() {
 0)   1.291 us    |          rw_copy_check_uvector();
 0)   4.834 us    |        }
 0)               |        sock_sendmsg() {
 0)   0.542 us    |          security_socket_sendmsg();
 0)               |          unix_stream_sendmsg() {
 0)   0.708 us    |            wait_for_unix_gc();
 0)   1.125 us    |            security_socket_getpeersec_dgram();
 0)               |            sock_alloc_send_pskb() {
 0)               |              alloc_skb_with_frags() {
 0)               |                __alloc_skb() {
 0)   1.583 us    |                  kmem_cache_alloc();
 0)               |                  __kmalloc_reserve.constprop.25() {
 0)               |                    __kmalloc_track_caller() {
 0)   0.958 us    |                      kmalloc_slab();
 0)   6.708 us    |                    }
 0)   10.000 us   |                  }
 0)   1.333 us    |                  ksize();
 0) + 27.375 us   |                }
 0) + 30.917 us   |              }
 0)   1.417 us    |              skb_set_owner_w();
 0) + 40.541 us   |            }
 0)   0.750 us    |            unix_scm_to_skb();
 0)   0.709 us    |            skb_put();
 0)   3.167 us    |            skb_copy_datagram_from_iter();
 0)   0.667 us    |            rt_spin_lock();
 0)   0.667 us    |            maybe_add_creds();
 0)               |            skb_queue_tail() {
 0)   0.666 us    |              rt_spin_lock();
 0)   0.500 us    |              rt_spin_unlock();
 0)   6.833 us    |            }
 0)   0.458 us    |            rt_spin_unlock();
 0)               |            sock_def_readable() {
 0)   1.125 us    |              __rcu_read_lock();
 0)               |              __wake_up_sync_key() {
 0)               |                __wake_up_common_lock() {
 0)   0.750 us    |                  rt_spin_lock();
 0)               |                  __wake_up_common() {
 0)               |                    pollwake() {
 0)               |                      default_wake_function() {
 0)               |                        try_to_wake_up() {
 0)   0.750 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_add();
 0)   1.291 us    |                          update_rq_clock();
 0)               |                          activate_task() {
 0)               |                            enqueue_task_fair() {
 0)               |                              enqueue_entity() {
 0)   0.750 us    |                                update_curr();
 0)   0.459 us    |                                update_cfs_shares();
 0)   0.458 us    |                                check_spread();
 0)   1.250 us    |                                __enqueue_entity();
 0) + 16.125 us   |                              }
 0)   0.667 us    |                              update_cfs_shares();
 0)               |                              dbs_update_util_handler() {
 0)   0.500 us    |                                preempt_count_add();
 0)   0.958 us    |                                preempt_count_sub();
 0) + 10.167 us   |                              }
 0)   0.459 us    |                              update_cfs_shares();
 0)   0.417 us    |                              hrtick_update();
 0) + 43.542 us   |                            }
 0) + 47.291 us   |                          }
 0)               |                          check_preempt_curr() {
 0)               |                            check_preempt_wakeup() {
 0)               |                              update_curr() {
 0)   0.542 us    |                                update_min_vruntime();
 0)   4.375 us    |                              }
 0)   0.500 us    |                              wakeup_preempt_entity();
 0) + 11.125 us   |                            }
 0) + 14.958 us   |                          }
 0)   2.708 us    |                          ttwu_do_wakeup.part.20();
 0)   0.459 us    |                          preempt_count_sub();
 0)   0.458 us    |                          preempt_count_sub();
 0) + 92.375 us   |                        }
 0) + 95.708 us   |                      }
 0) + 99.500 us   |                    }
 0) ! 103.500 us  |                  }
 0)   0.750 us    |                  rt_spin_unlock();
 0) ! 114.125 us  |                }
 0) ! 117.666 us  |              }
 0)   0.750 us    |              __rcu_read_unlock();
 0) ! 128.833 us  |            }
 0)   0.500 us    |            put_pid();
 0) ! 222.375 us  |          }
 0) ! 229.000 us  |        }
 0)   0.500 us    |        kfree();
 0) ! 244.459 us  |      }
 0) ! 259.958 us  |    }
 0) ! 263.584 us  |  }
 0)               |  SyS_clock_gettime() {
 0)   0.542 us    |    clockid_to_kclock.part.0();
 0)               |    posix_ktime_get_ts() {
 0)               |      ktime_get_ts64() {
 0)   0.667 us    |        clocksource_read_cycles();
 0)   4.709 us    |      }
 0)   7.792 us    |    }
 0)   1.666 us    |    put_timespec64();
 0) + 21.000 us   |  }
 0)               |  SyS_epoll_wait() {
 0)               |    __fdget() {
 0)   0.792 us    |      __fget_light();
 0)   3.833 us    |    }
 0)   0.667 us    |    rt_spin_lock();
 0)   0.500 us    |    rt_spin_unlock();
 0)               |    ep_scan_ready_list.constprop.0() {
 0)               |      _mutex_lock() {
 0)   0.458 us    |        __rt_mutex_lock_state();
 0)   3.542 us    |      }
 0)   0.458 us    |      rt_spin_lock();
 0)   0.458 us    |      rt_spin_unlock();
 0)               |      ep_send_events_proc() {
 0)               |        sock_poll() {
 0)   1.375 us    |          unix_poll();
 0)   4.791 us    |        }
 0)   9.250 us    |      }
 0)   0.500 us    |      rt_spin_lock();
 0)   0.459 us    |      __pm_relax();
 0)   0.500 us    |      rt_spin_unlock();
 0)               |      _mutex_unlock() {
 0)   0.500 us    |        __rt_mutex_unlock();
 0)   3.583 us    |      }
 0) + 41.208 us   |    }
 0)   0.458 us    |    rt_spin_lock();
 0)   0.500 us    |    rt_spin_unlock();
 0)               |    schedule_hrtimeout_range() {
 0)               |      schedule_hrtimeout_range_clock() {
 0)               |        schedule() {
