pi_stress --duration=5 
04-05-2018 00:23:30

# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.541 us    |                      } /* page_remove_rmap */
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.542 us    |                          __rt_mutex_unlock();
 0)   6.834 us    |                        }
 0) + 13.416 us   |                      }
 0) + 16.750 us   |                    }
 0) + 45.834 us   |                  }
 0)   0.500 us    |                  unlink_file_vma();
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.500 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0) + 10.125 us   |                        }
 0) + 13.125 us   |                      }
 0) + 16.458 us   |                    }
 0)   0.583 us    |                    anon_vma_interval_tree_remove();
 0)   0.583 us    |                    kmem_cache_free();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.459 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.542 us    |                          __rt_mutex_unlock();
 0)   6.709 us    |                        }
 0) + 12.916 us   |                      }
 0) + 16.000 us   |                    }
 0) + 44.708 us   |                  }
 0)   0.458 us    |                  unlink_file_vma();
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.458 us    |                          __rt_mutex_lock_state();
 0)   0.459 us    |                          preempt_count_add();
 0)   0.458 us    |                          preempt_count_sub();
 0)   9.666 us    |                        }
 0) + 12.708 us   |                      }
 0) + 15.958 us   |                    }
 0)   0.666 us    |                    anon_vma_interval_tree_remove();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.500 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   6.917 us    |                        }
 0) + 12.833 us   |                      }
 0) + 16.209 us   |                    }
 0)               |                    __put_anon_vma() {
 0)   0.833 us    |                      kmem_cache_free();
 0)   3.625 us    |                    }
 0)   0.583 us    |                    kmem_cache_free();
 0) + 50.834 us   |                  }
 0)   0.458 us    |                  unlink_file_vma();
 0)   0.500 us    |                  unlink_anon_vmas();
 0)               |                  unlink_file_vma() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.667 us    |                          __rt_mutex_lock_state();
 0)   0.459 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   10.000 us   |                        }
 0) + 13.166 us   |                      }
 0) + 15.958 us   |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.708 us    |                      rt_spin_lock();
 0)   2.125 us    |                      vma_interval_tree_remove();
 0)   0.500 us    |                      rt_spin_unlock();
 0) + 11.500 us   |                    }
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.459 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   6.708 us    |                        }
 0) + 12.834 us   |                      }
 0) + 15.875 us   |                    }
 0) + 52.542 us   |                  }
