,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
27214,resched_curr,000,null,d,null,null,check_preempt_curr_rt,2,pi_stress-2443,182903.353276
27215,ttwu_do_wakeup.part.20,000,null,d,n,null,try_to_wake_up,2,pi_stress-2443,182903.353277
27216,preempt_count_sub,000,null,d,n,null,try_to_wake_up,2,pi_stress-2443,182903.353278
27217,preempt_count_sub,000,null,null,n,null,try_to_wake_up,1,pi_stress-2443,182903.35328
27218,rcu_note_context_switch,000,null,d,n,null,__schedule,1,pi_stress-2443,182903.353281
27219,rcu_sched_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2443,182903.353282
27220,rcu_preempt_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2443,182903.353283
27221,preempt_count_add,000,null,d,n,null,__schedule,1,pi_stress-2443,182903.353285
27222,update_rq_clock,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.353286
27223,pick_next_task_dl,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.353287
27224,pick_next_task_rt,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.353288
27225,update_curr_rt,000,null,d,n,null,pick_next_task_rt,2,pi_stress-2443,182903.353289
27226,dbs_update_util_handler,000,null,d,n,null,update_curr_rt,2,pi_stress-2443,182903.35329
27227,cpuacct_charge,000,null,d,n,null,update_curr_rt,2,pi_stress-2443,182903.353291
27228,__rcu_read_lock,000,null,d,n,null,cpuacct_charge,2,pi_stress-2443,182903.353293
27229,__rcu_read_unlock,000,null,d,n,null,cpuacct_charge,2,pi_stress-2443,182903.353294
27230,preempt_count_add,000,null,d,n,null,update_curr_rt,2,pi_stress-2443,182903.353295
27231,preempt_count_sub,000,null,d,n,null,update_curr_rt,3,pi_stress-2443,182903.353296
27232,put_prev_task_rt,000,null,d,n,null,pick_next_task_rt,2,pi_stress-2443,182903.353297
27233,update_curr_rt,000,null,d,n,null,put_prev_task_rt,2,pi_stress-2443,182903.353298
27234,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2443,182903.3533
27235,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2443,182903.353301
27236,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2443,182903.353302
27237,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2443,182903.353304
27238,vfp_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2443,182903.353305
27239,thumbee_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2443,182903.353306
27240,__rcu_read_unlock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2443,182903.353307
