,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
7095,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2427,182888.908149
7096,vfp_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2427,182888.90815
7097,thumbee_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2427,182888.908151
7098,__rcu_read_unlock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2427,182888.908153
7099,finish_task_switch,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.908154
7100,preempt_count_sub,000,null,null,null,null,finish_task_switch,2,pi_stress-2426,182888.908156
7101,preempt_count_sub,000,null,null,null,null,schedule,1,pi_stress-2426,182888.908157
7102,drop_futex_key_refs,000,null,null,null,null,futex_wait,null,pi_stress-2426,182888.908158
7103,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2426,182888.908161
7104,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2426,182888.908162
7105,futex_wait,000,null,null,null,null,do_futex,null,pi_stress-2426,182888.908165
7106,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-2426,182888.908166
7107,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-2426,182888.908167
7108,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2426,182888.908168
7109,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-2426,182888.908169
7110,rt_spin_lock,000,null,null,null,null,futex_wait_setup,null,pi_stress-2426,182888.90817
7111,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-2426,182888.908172
7112,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-2426,182888.908173
7113,rt_spin_unlock,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2426,182888.908174
7114,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2426,182888.908175
7115,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2426,182888.908177
7116,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2426,182888.908178
7117,rcu_sched_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2426,182888.908179
7118,rcu_preempt_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2426,182888.90818
7119,preempt_count_add,000,null,d,null,null,__schedule,1,pi_stress-2426,182888.908181
7120,update_rq_clock,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.908183
7121,deactivate_task,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.908184
7122,dequeue_task_rt,000,null,d,null,null,deactivate_task,2,pi_stress-2426,182888.908185
7123,update_curr_rt,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2426,182888.908186
7124,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,2,pi_stress-2426,182888.908188
7125,cpuacct_charge,000,null,d,null,null,update_curr_rt,2,pi_stress-2426,182888.908189
7126,__rcu_read_lock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2426,182888.90819
7127,__rcu_read_unlock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2426,182888.908191
7128,preempt_count_add,000,null,d,null,null,update_curr_rt,2,pi_stress-2426,182888.908192
7129,preempt_count_sub,000,null,d,null,null,update_curr_rt,3,pi_stress-2426,182888.908193
7130,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2426,182888.908194
7131,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2426,182888.908196
7132,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2426,182888.908197
7133,pick_next_task_dl,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.908198
7134,pick_next_task_rt,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.908199
7135,update_curr_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2426,182888.9082
7136,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2426,182888.908201
7137,update_curr_rt,000,null,d,null,null,put_prev_task_rt,2,pi_stress-2426,182888.908202
7138,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.908204
7139,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2426,182888.908206
7140,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2426,182888.908207
7141,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2426,182888.908208
7142,vfp_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2426,182888.908209
7143,thumbee_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2426,182888.90821
7144,__rcu_read_unlock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2426,182888.908211
7145,finish_task_switch,000,null,d,null,null,__schedule,2,pi_stress-2425,182888.908212
7146,preempt_count_sub,000,null,null,null,null,finish_task_switch,2,pi_stress-2425,182888.908213
7147,put_pi_state,000,null,null,null,null,do_futex,null,pi_stress-2425,182888.908215
7148,preempt_count_add,000,null,d,null,null,put_pi_state,null,pi_stress-2425,182888.908216
7149,preempt_count_add,000,null,d,null,null,put_pi_state,1,pi_stress-2425,182888.908217
7150,preempt_count_sub,000,null,d,null,null,put_pi_state,2,pi_stress-2425,182888.908218
7151,rt_mutex_proxy_unlock,000,null,d,null,null,put_pi_state,1,pi_stress-2425,182888.908219
7152,preempt_count_sub,000,null,null,null,null,put_pi_state,1,pi_stress-2425,182888.908221
7153,kfree,000,null,null,null,null,put_pi_state,null,pi_stress-2425,182888.908222
7154,drop_futex_key_refs,000,null,null,null,null,do_futex,null,pi_stress-2425,182888.908224
7155,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2425,182888.908226
7156,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2425,182888.908227
7157,futex_wake,000,null,null,null,null,do_futex,null,pi_stress-2425,182888.908228
7158,get_futex_key,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.908229
7159,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2425,182888.90823
7160,hash_futex,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.908231
7161,rt_spin_lock,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.908233
7162,mark_wake_futex,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.908234
7163,__wake_q_add,000,null,null,null,null,mark_wake_futex,null,pi_stress-2425,182888.908235
7164,__unqueue_futex,000,null,null,null,null,mark_wake_futex,null,pi_stress-2425,182888.908236
7165,mark_wake_futex,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.908237
7166,__wake_q_add,000,null,null,null,null,mark_wake_futex,null,pi_stress-2425,182888.908239
7167,__unqueue_futex,000,null,null,null,null,mark_wake_futex,null,pi_stress-2425,182888.90824
7168,rt_spin_unlock,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.908241
7169,__wake_up_q,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.908242
7170,try_to_wake_up,000,null,null,null,null,__wake_up_q,null,pi_stress-2425,182888.908243
7171,preempt_count_add,000,null,d,null,null,try_to_wake_up,null,pi_stress-2425,182888.908244
7172,preempt_count_add,000,null,d,null,null,try_to_wake_up,1,pi_stress-2425,182888.908246
7173,update_rq_clock,000,null,d,null,null,try_to_wake_up,2,pi_stress-2425,182888.908247
7174,activate_task,000,null,d,null,null,try_to_wake_up,2,pi_stress-2425,182888.908248
