,Overhead,Preempted process,Preempted process id,Preempted process priority,Preempting process,Preempting process id,Preempting process priority,Scheduled status
101,0.01%,.koworker,32183,120,cyclictest,32167,0,R
102,0.01%,ksoftirqd/0,7,120,avahi-daemon,500,120,S
103,0.01%,ksoftirqd/0,7,120,ps,32186,120,S
104,0.01%,dbus-daemon,518,120,.koworker,1019,120,S
105,0.01%,cyclictest,32167,0,.koworker,32183,120,S
106,0.01%,mmcqd/1,89,120,cyclictest,32167,0,R
107,0.01%,.koworker,1019,120,.koworker,1016,120,S
108,0.01%,cyclictest,32167,0,avahi-daemon,500,120,S
109,0.01%,.koworker,1016,120,.koworker,1019,120,R
110,0.01%,.koworker,1016,120,.koworker,1019,120,S
111,0.01%,.koworker,1019,120,perf,32163,120,R
112,0.01%,apache2,808,120,.koworker,1016,120,S
113,0.01%,ksoftirqd/0,7,120,sshd,32188,120,S
114,0.01%,mmcqd/1,89,120,kworker/0,1H,100,R
115,0.01%,apache2,808,120,.koworker,1019,120,S
116,0.01%,wicd,984,120,kworker/0,1,120,R
117,0.01%,.koworker,1019,120,.koworker,1016,120,R
118,0.01%,avahi-daemon,500,120,.koworker,1019,120,S
119,0.01%,cron,32181,120,cyclictest,32167,0,R
120,0.01%,dbus-daemon,518,120,.koworker,1016,120,S
121,0.01%,kworker/u2,1,120,cyclictest,32167,0,t
122,0.01%,.koworker,1016,120,perf,32163,120,R
123,0.01%,cyclictest,32167,0,systemd-journal,118,120,S
124,0.01%,sshd,27636,120,sshd,32174,120,S
125,0.01%,sshd,27636,120,wicd,984,120,S
126,0.01%,kworker/0,1,120,wicd,984,120,t
127,0.01%,sshd,27636,120,sshd,32168,120,S
128,0.01%,avahi-daemon,500,120,cyclictest,32167,0,R
129,0.01%,avahi-daemon,500,120,.koworker,1016,120,S
130,0.01%,cyclictest,32167,0,.koworker,32184,120,S
131,0.01%,cyclictest,32167,0,cron,32181,120,S
132,0.01%,sshd,27636,120,sshd,32188,120,S
133,0.01%,jbd2/mmcblk1p2-,97,120,mmcqd/1,89,120,D
134,0.01%,irq/31-44e0b000,90,49,kworker/0,1,120,S
135,0.01%,ksoftirqd/0,7,120,sshd,32174,120,S
136,0.01%,mmcqd/1,89,120,perf,32163,120,S
137,0.01%,perf,32163,120,cyclictest,32166,120,S
138,0.01%,ps,32186,120,ksoftirqd/0,7,120,R
139,0.01%,sshd,27636,120,wicd-monitor,990,120,S
140,0.01%,wicd,984,120,ksoftirqd/0,7,120,S
141,0.01%,ksoftirqd/0,7,120,sshd,32168,120,S
142,0.01%,kworker/0,1H,100,mmcqd/1,89,120,t
143,0.01%,rs:mainQ:Reg,626,120,cyclictest,32167,0,R
144,0.01%,rsyslogd,627,120,Q,Reg,120,S
145,0.01%,sshd,32174,120,cyclictest,32166,120,R
146,0.01%,ksoftirqd/0,7,120,dbus-daemon,518,120,S
147,0.01%,ksoftirqd/0,7,120,sshd,32175,120,S
148,0.01%,sshd,27636,120,sshd,32189,120,S
149,0.01%,sshd,32169,120,sshd,32168,120,S
150,0.01%,sshd,32175,120,sshd,32174,120,S
151,0.01%,.koworker,1016,120,mmcqd/1,89,120,R
152,0.01%,ksoftirqd/0,7,120,rsyslogd,627,120,S
153,0.01%,ksoftirqd/0,7,120,sshd,32169,120,S
154,0.01%,ksoftirqd/0,7,120,sshd,32189,120,S
155,0.01%,kworker/0,1,120,cyclictest,32166,120,D
156,0.01%,kworker/0,1H,100,jbd2/mmcblk1p2-,97,120,t
157,0.01%,sshd,27636,120,sshd,32169,120,S
158,0.01%,sshd,27636,120,sshd,32175,120,S
159,0.01%,sshd,32168,120,kworker/0,1,120,R
160,0.01%,wicd-monitor,990,120,dbus-daemon,518,120,S
161,0.01%,wicd,984,120,cyclictest,32166,120,R
162,0.00%,.koworker,1019,120,avahi-daemon,500,120,R
163,0.00%,dbus-daemon,518,120,wicd,984,120,S
164,0.00%,ksoftirqd/0,7,120,cyclictest,32167,0,S
165,0.00%,ksoftirqd/0,7,120,perf,32163,120,S
166,0.00%,kworker/0,1,120,sshd,32188,120,t
167,0.00%,mmcqd/1,89,120,jbd2/mmcblk1p2-,97,120,S
168,0.00%,sshd,27636,120,cyclictest,32167,0,S
169,0.00%,sshd,32168,120,cyclictest,32166,120,R
170,0.00%,sshd,32188,120,cyclictest,32166,120,R
171,0.00%,sshd,32188,120,kworker/0,1,120,R
172,0.00%,wicd-monitor,990,120,kworker/0,1,120,R
173,0.00%,wicd,984,120,ksoftirqd/0,7,120,R
174,0.00%,cyclictest,32167,0,wicd,32170,120,S
175,0.00%,cyclictest,32167,0,wicd,32171,120,S
176,0.00%,cyclictest,32167,0,wicd,32190,120,S
177,0.00%,dbus-daemon,518,120,kworker/0,1,120,R
178,0.00%,kworker/0,1,120,ksoftirqd/0,7,120,D
179,0.00%,kworker/0,1,120,dbus-daemon,518,120,t
180,0.00%,kworker/0,1,120,sshd,32189,120,t
181,0.00%,kworker/u2,1,120,.koworker,1014,120,t
182,0.00%,mmcqd/1,89,120,.koworker,1019,120,D
183,0.00%,sshd,32174,120,ksoftirqd/0,7,120,R
184,0.00%,wicd,32170,120,cyclictest,32167,0,R
185,0.00%,wicd,32180,120,cyclictest,32167,0,R
186,0.00%,avahi-daemon,500,120,ksoftirqd/0,7,120,S
187,0.00%,cyclictest,32166,120,ksoftirqd/0,7,120,R
188,0.00%,cyclictest,32167,0,wicd,32173,120,S
189,0.00%,cyclictest,32167,0,wicd,32176,120,S
190,0.00%,cyclictest,32167,0,wicd,32179,120,S
191,0.00%,cyclictest,32167,0,wicd,32180,120,S
192,0.00%,kworker/0,1,120,kworker/u2,1,120,t
193,0.00%,kworker/0,1,120,sshd,32168,120,t
194,0.00%,kworker/0,1,120,wicd-monitor,990,120,t
195,0.00%,perf,32163,120,sshd,27636,120,S
196,0.00%,sshd,32189,120,kworker/0,1,120,R
197,0.00%,wicd,32171,120,cyclictest,32167,0,R
198,0.00%,wicd,32176,120,cyclictest,32167,0,R
199,0.00%,wicd,32179,120,cyclictest,32167,0,R
200,0.00%,wicd,32192,120,cyclictest,32167,0,R
201,0.00%,.koworker,1016,120,avahi-daemon,500,120,R
202,0.00%,cyclictest,32167,0,ifconfig,32177,120,S
203,0.00%,cyclictest,32167,0,wicd,32172,120,S
204,0.00%,cyclictest,32167,0,wicd,32177,120,S
205,0.00%,cyclictest,32167,0,wicd,32187,120,S
206,0.00%,cyclictest,32167,0,wicd,32191,120,S
207,0.00%,cyclictest,32167,0,wicd,32192,120,S
208,0.00%,dbus-daemon,518,120,.koworker,1014,120,S
209,0.00%,ifconfig,32173,120,cyclictest,32167,0,R
210,0.00%,ifconfig,32177,120,cyclictest,32167,0,R
211,0.00%,ifconfig,32180,120,cyclictest,32167,0,R
212,0.00%,ksoftirqd/0,7,120,mmcqd/1,89,120,S
213,0.00%,ksoftirqd/0,7,120,sshd,740,120,S
214,0.00%,kworker/0,1,120,sshd,27636,120,D
215,0.00%,kworker/0,1,120,sshd,32174,120,t
216,0.00%,mmcqd/1,89,120,.koworker,1016,120,S
217,0.00%,mmcqd/1,89,120,cyclictest,32166,120,S
218,0.00%,sshd,19316,120,.koworker,1019,120,S
219,0.00%,sshd,32168,120,sshd,32169,120,R
220,0.00%,sshd,32169,120,cyclictest,32166,120,R
221,0.00%,sshd,32169,120,kworker/0,1,120,R
222,0.00%,sshd,32174,120,kworker/0,1,120,R
223,0.00%,sshd,32174,120,sshd,32175,120,R
224,0.00%,sshd,32175,120,cyclictest,32166,120,R
225,0.00%,sshd,32189,120,cyclictest,32166,120,R
226,0.00%,sshd,32189,120,sshd,32188,120,S
227,0.00%,wicd,32172,120,cyclictest,32167,0,R
228,0.00%,wicd,32173,120,cyclictest,32167,0,R
229,0.00%,wicd,32177,120,cyclictest,32167,0,R
230,0.00%,wicd,32187,120,cyclictest,32167,0,R
231,0.00%,wicd,32190,120,cyclictest,32167,0,R
232,0.00%,wicd,32191,120,cyclictest,32167,0,R
233,0.00%,wicd,984,120,.koworker,1019,120,S
234,0.00%,cyclictest,32167,0,ifconfig,32176,120,S
235,0.00%,cyclictest,32167,0,ifconfig,32180,120,S
236,0.00%,cyclictest,32167,0,ifconfig,32190,120,S
237,0.00%,cyclictest,32167,0,ifconfig,32192,120,S
238,0.00%,ifconfig,32187,120,cyclictest,32167,0,R
239,0.00%,ifconfig,32191,120,cyclictest,32167,0,R
240,0.00%,ifconfig,32192,120,cyclictest,32167,0,R
241,0.00%,perf,32163,120,jbd2/mmcblk1p2-,97,120,R
242,0.00%,perf,32163,120,mmcqd/1,89,120,R
243,0.00%,rs:mainQ:Reg,626,120,systemd-journal,118,120,S
244,0.00%,sshd,27636,120,perf,32163,120,R
245,0.00%,sshd,32168,120,ksoftirqd/0,7,120,R
246,0.00%,sshd,32175,120,kworker/0,1,120,R
247,0.00%,wicd-monitor,990,120,cyclictest,32166,120,R
248,0.00%,.koworker,1014,120,cron,32181,120,S
249,0.00%,.koworker,32183,120,kworker/0,1,120,R
250,0.00%,cyclictest,32167,0,ifconfig,32170,120,S
251,0.00%,cyclictest,32167,0,ifconfig,32171,120,S
252,0.00%,cyclictest,32167,0,ifconfig,32187,120,S
253,0.00%,cyclictest,32167,0,Q,Reg,120,S
254,0.00%,ifconfig,32172,120,cyclictest,32167,0,R
255,0.00%,ifconfig,32176,120,cyclictest,32167,0,R
256,0.00%,ifconfig,32190,120,cyclictest,32167,0,R
257,0.00%,jbd2/mmcblk1p2-,97,120,perf,32163,120,S
258,0.00%,kworker/0,1,120,irq/31-44e0b000,90,49,R
259,0.00%,kworker/0,1,120,apache2,808,120,t
260,0.00%,kworker/0,1,120,sshd,32169,120,t
261,0.00%,kworker/u2,1,120,ptp0,1120,120,t
262,0.00%,sshd,19316,120,.koworker,1016,120,S
263,0.00%,sshd,27636,120,sshd,19316,120,S
264,0.00%,sshd,32188,120,ksoftirqd/0,7,120,R
265,0.00%,sshd,740,120,ksoftirqd/0,7,120,S
266,0.00%,sudo,32164,120,ksoftirqd/0,7,120,R
267,0.00%,.koworker,1014,120,.koworker,32184,120,S
268,0.00%,.koworker,32184,120,cyclictest,32167,0,R
269,0.00%,avahi-daemon,500,120,sshd,27636,120,S
270,0.00%,cyclictest,32166,120,kworker/u2,0,120,R
271,0.00%,cyclictest,32167,0,ifconfig,32172,120,S
272,0.00%,cyclictest,32167,0,ifconfig,32173,120,S
273,0.00%,cyclictest,32167,0,ifconfig,32191,120,S
274,0.00%,cyclictest,32167,0,sshd,740,120,S
275,0.00%,dbus-daemon,518,120,cyclictest,32166,120,S
276,0.00%,ifconfig,32170,120,cyclictest,32167,0,R
277,0.00%,ifconfig,32171,120,cyclictest,32167,0,R
278,0.00%,ifconfig,32179,120,cyclictest,32167,0,R
279,0.00%,ksoftirqd/0,7,120,.koworker,32185,120,S
280,0.00%,ksoftirqd/0,7,120,wicd-monitor,990,120,S
281,0.00%,kworker/0,1,120,sshd,19316,120,t
282,0.00%,nohup,32183,120,cyclictest,32167,0,R
283,0.00%,ptp0,1120,120,kworker/u2,1,120,S
284,0.00%,sh,32182,120,cyclictest,32167,0,R
285,0.00%,sshd,19316,120,sshd,32174,120,S
286,0.00%,systemd-journal,118,120,kworker/0,1,120,R
287,0.00%,systemd-journal,118,120,ksoftirqd/0,7,120,S
288,0.00%,wicd,984,120,.koworker,1016,120,S
289,0.00%,.koworker,1016,120,irq/31-44e0b000,90,49,R
290,0.00%,.koworker,1019,120,irq/31-44e0b000,90,49,R
291,0.00%,.koworker,32184,120,.koworker,32185,120,S
292,0.00%,.koworker,32184,120,ps,32186,120,S
293,0.00%,.koworker,32185,120,cyclictest,32167,0,R
294,0.00%,.koworker,32185,120,.koworker,32184,120,S
295,0.00%,apache2,808,120,sshd,27636,120,S
296,0.00%,avahi-daemon,500,120,kworker/0,1,120,R
297,0.00%,cron,32182,120,cyclictest,32167,0,R
298,0.00%,cyclictest,32166,120,mmcqd/1,89,120,R
299,0.00%,cyclictest,32167,0,ifconfig,32179,120,S
300,0.00%,cyclictest,32167,0,sh,32182,120,S
301,0.00%,ifconfig,32171,120,ksoftirqd/0,7,120,R
302,0.00%,ifconfig,32176,120,ksoftirqd/0,7,120,R
303,0.00%,ifconfig,32177,120,ksoftirqd/0,7,120,R
304,0.00%,ifconfig,32187,120,ksoftirqd/0,7,120,R
305,0.00%,jbd2/mmcblk1p2-,97,120,ksoftirqd/0,7,120,D
306,0.00%,ksoftirqd/0,7,120,kworker/0,1,120,R
307,0.00%,ksoftirqd/0,7,120,Q,Reg,120,S
308,0.00%,ksoftirqd/0,7,120,sudo,32164,120,S
309,0.00%,kworker/0,1,120,ps,32186,120,t
310,0.00%,kworker/0,1,120,sshd,32175,120,t
311,0.00%,kworker/0,1,120,systemd-journal,118,120,t
312,0.00%,kworker/u2,0,120,cyclictest,32166,120,t
313,0.00%,mmcqd/1,89,120,ksoftirqd/0,7,120,R
314,0.00%,perf,32163,120,.koworker,1016,120,D
315,0.00%,ps,32186,120,kworker/0,1,120,R
316,0.00%,sshd,19316,120,cyclictest,32166,120,R
317,0.00%,sshd,19316,120,cyclictest,32166,120,S
318,0.00%,sshd,27636,120,systemd-journal,118,120,S
319,0.00%,sshd,740,120,cyclictest,32167,0,R
320,0.00%,.koworker,1014,120,kworker/0,1,120,S
321,0.00%,.koworker,1014,120,ps,32186,120,S
322,0.00%,.koworker,1016,120,apache2,808,120,R
323,0.00%,.koworker,1016,120,kworker/u2,1,120,R
324,0.00%,.koworker,1019,120,ptp0,1120,120,R
325,0.00%,.koworker,32183,120,.koworker,32185,120,R
326,0.00%,.koworker,32185,120,.koworker,32183,120,S
327,0.00%,cyclictest,32166,120,sshd,32168,120,S
328,0.00%,cyclictest,32167,0,cron,32182,120,S
329,0.00%,cyclictest,32167,0,nohup,32183,120,S
330,0.00%,ifconfig,32170,120,ksoftirqd/0,7,120,R
331,0.00%,ifconfig,32173,120,ksoftirqd/0,7,120,R
332,0.00%,ifconfig,32179,120,ksoftirqd/0,7,120,R
333,0.00%,ifconfig,32180,120,ksoftirqd/0,7,120,R
334,0.00%,ifconfig,32190,120,ksoftirqd/0,7,120,R
335,0.00%,ifconfig,32192,120,ksoftirqd/0,7,120,R
336,0.00%,jbd2/mmcblk1p2-,97,120,.koworker,1019,120,S
337,0.00%,ksoftirqd/0,7,120,.koworker,32184,120,S
338,0.00%,ksoftirqd/0,7,120,ifconfig,32173,120,S
339,0.00%,kworker/0,1,120,kworker/0,2,120,D
340,0.00%,kworker/0,1,120,wicd,984,120,D
341,0.00%,kworker/0,1,120,cyclictest,32167,0,R
342,0.00%,kworker/0,1,120,.koworker,32183,120,t
343,0.00%,kworker/0,1,120,mmcqd/1,89,120,t
344,0.00%,kworker/u2,1,120,perf,32163,120,t
345,0.00%,perf,32163,120,.koworker,1019,120,D
346,0.00%,ptp0,1120,120,.koworker,1019,120,S
347,0.00%,sshd,19316,120,kworker/0,1,120,R
348,0.00%,sshd,19316,120,ksoftirqd/0,7,120,S
349,0.00%,sshd,27636,120,ksoftirqd/0,7,120,R
350,0.00%,sshd,27636,120,.koworker,32184,120,S
351,0.00%,sshd,32174,120,.koworker,1016,120,S
352,0.00%,sshd,32175,120,.koworker,1016,120,S
353,0.00%,sshd,32188,120,sshd,32189,120,R
354,0.00%,sshd,32188,120,.koworker,1019,120,S
355,0.00%,sshd,32188,120,ksoftirqd/0,7,120,S
356,0.00%,.koworker,1014,120,mmcqd/1,89,120,R
357,0.00%,.koworker,1016,120,ptp0,1120,120,R
358,0.00%,.koworker,1019,120,Q,Reg,120,R
359,0.00%,.koworker,1019,120,sudo,32164,120,R
360,0.00%,.koworker,32183,120,ksoftirqd/0,7,120,R
361,0.00%,.koworker,32183,120,.koworker,1019,120,S
362,0.00%,.koworker,32185,120,ksoftirqd/0,7,120,S
363,0.00%,apache2,808,120,kworker/0,1,120,R
364,0.00%,apache2,808,120,.koworker,1014,120,S
365,0.00%,apache2,808,120,cyclictest,32166,120,S
366,0.00%,avahi-daemon,500,120,cyclictest,32166,120,S
367,0.00%,avahi-daemon,500,120,sshd,32168,120,S
368,0.00%,avahi-daemon,500,120,sshd,32174,120,S
369,0.00%,avahi-daemon,500,120,sshd,32188,120,S
370,0.00%,cron,32181,120,kworker/0,1,120,R
371,0.00%,cyclictest,32166,120,.koworker,1016,120,S
372,0.00%,cyclictest,32166,120,kworker/0,1,120,S
373,0.00%,cyclictest,32166,120,sshd,32188,120,S
374,0.00%,cyclictest,32167,0,.koworker,32185,120,S
375,0.00%,cyclictest,32167,0,.koworker,32186,120,S
376,0.00%,cyclictest,32167,0,rsyslogd,627,120,S
377,0.00%,cyclictest,32167,0,sh,32183,120,S
378,0.00%,dbus-daemon,518,120,cyclictest,32166,120,R
379,0.00%,dbus-daemon,518,120,cyclictest,32167,0,S
380,0.00%,dbus-daemon,518,120,perf,32163,120,S
381,0.00%,dbus-daemon,518,120,sshd,27636,120,S
382,0.00%,ifconfig,32172,120,ksoftirqd/0,7,120,R
383,0.00%,ifconfig,32173,120,kworker/0,1,120,R
384,0.00%,ifconfig,32191,120,ksoftirqd/0,7,120,R
385,0.00%,irq/31-44e0b000,90,49,ksoftirqd/0,7,120,S
386,0.00%,ksoftirqd/0,7,120,.koworker,32183,120,S
387,0.00%,ksoftirqd/0,7,120,cron,32181,120,S
388,0.00%,ksoftirqd/0,7,120,ifconfig,32170,120,S
389,0.00%,ksoftirqd/0,7,120,ifconfig,32176,120,S
390,0.00%,ksoftirqd/0,7,120,ifconfig,32177,120,S
391,0.00%,ksoftirqd/0,7,120,ifconfig,32179,120,S
392,0.00%,ksoftirqd/0,7,120,ifconfig,32180,120,S
393,0.00%,ksoftirqd/0,7,120,ifconfig,32190,120,S
394,0.00%,ksoftirqd/0,7,120,ifconfig,32191,120,S
395,0.00%,ksoftirqd/0,7,120,sh,32182,120,S
396,0.00%,kworker/0,1,120,sshd,19316,120,D
397,0.00%,kworker/0,1,120,.koworker,32184,120,t
398,0.00%,kworker/0,1,120,avahi-daemon,500,120,t
399,0.00%,kworker/0,1,120,cron,32181,120,t
400,0.00%,kworker/0,1,120,ifconfig,32173,120,t
401,0.00%,kworker/0,1,120,jbd2/mmcblk1p2-,97,120,t
402,0.00%,kworker/0,1,120,Q,Reg,120,t
403,0.00%,kworker/0,1,120,sudo,32164,120,t
404,0.00%,kworker/0,1,120,wicd,32180,120,t
405,0.00%,kworker/0,2,120,.koworker,1016,120,t
406,0.00%,kworker/u2,1,120,mmcqd/1,89,120,R
407,0.00%,kworker/u2,1,120,mmcqd/1,89,120,t
408,0.00%,kworker/u2,1,120,sshd,19316,120,t
409,0.00%,mmcqd/1,89,120,.koworker,1014,120,S
410,0.00%,mmcqd/1,89,120,kworker/u2,1,120,S
411,0.00%,ptp0,1120,120,ksoftirqd/0,7,120,S
412,0.00%,rs:mainQ:Reg,626,120,kworker/0,1,120,R
413,0.00%,rs:mainQ:Reg,626,120,sshd,19316,120,S
414,0.00%,sh,32183,120,cyclictest,32167,0,R
415,0.00%,sshd,19316,120,irq/31-44e0b000,90,49,R
416,0.00%,sshd,19316,120,sshd,27636,120,S
417,0.00%,sshd,27636,120,dbus-daemon,518,120,S
418,0.00%,sshd,27636,120,ifconfig,32187,120,S
419,0.00%,sshd,27636,120,ifconfig,32191,120,S
420,0.00%,sshd,27636,120,ifconfig,32192,120,S
421,0.00%,sshd,27636,120,perf,32163,120,S
422,0.00%,sshd,27636,120,wicd,32180,120,S
423,0.00%,sshd,32168,120,.koworker,1016,120,S
424,0.00%,sshd,32168,120,sshd,32169,120,S
425,0.00%,sshd,32169,120,sshd,32168,120,R
426,0.00%,sshd,32169,120,.koworker,1016,120,S
427,0.00%,sshd,32174,120,avahi-daemon,500,120,R
428,0.00%,sshd,32174,120,ksoftirqd/0,7,120,S
429,0.00%,sshd,32174,120,sshd,32175,120,S
430,0.00%,sshd,32175,120,ksoftirqd/0,7,120,R
431,0.00%,sshd,32175,120,sshd,32174,120,R
432,0.00%,sshd,32188,120,sshd,32189,120,S
433,0.00%,sshd,32189,120,sshd,32188,120,R
434,0.00%,sshd,32189,120,.koworker,1016,120,S
435,0.00%,sshd,32189,120,.koworker,1019,120,S
436,0.00%,sudo,32164,120,kworker/0,1,120,R
437,0.00%,systemd-journal,118,120,ksoftirqd/0,7,120,R
438,0.00%,systemd-journal,118,120,.koworker,1019,120,S
439,0.00%,wicd,32170,120,kworker/0,1,120,R
440,0.00%,wicd,32171,120,ksoftirqd/0,7,120,R
441,0.00%,wicd,32180,120,kworker/0,1,120,R
442,0.00%,wicd,32190,120,kworker/0,1,120,R
443,0.00%,wicd,984,120,ifconfig,32171,120,S
444,0.00%,wicd,984,120,ifconfig,32172,120,S
445,0.00%,wicd,984,120,ifconfig,32173,120,S
446,0.00%,wicd,984,120,ifconfig,32177,120,S
447,0.00%,wicd,984,120,ifconfig,32187,120,S
448,0.00%,wicd,984,120,ifconfig,32191,120,S
449,0.00%,wicd,984,120,ifconfig,32192,120,S
450,0.00%,.koworker,1014,120,ksoftirqd/0,7,120,R
451,0.00%,.koworker,1014,120,.koworker,32183,120,S
452,0.00%,.koworker,1014,120,.koworker,32185,120,S
453,0.00%,.koworker,1014,120,cron,32182,120,S
454,0.00%,.koworker,1014,120,cron,772,120,S
455,0.00%,.koworker,1014,120,nohup,32183,120,S
456,0.00%,.koworker,1016,120,.koworker,1014,120,S
457,0.00%,.koworker,1019,120,apache2,808,120,R
458,0.00%,.koworker,1019,120,cron,772,120,R
459,0.00%,.koworker,1019,120,kworker/u2,1,120,R
