,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
3275,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,null,pi_stress-1200,638.908851
3276,cpuacct_charge,000,null,d,null,null,update_curr_rt,null,pi_stress-1200,638.908854
3277,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1200,638.908858
3278,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,null,pi_stress-1200,638.908861
3279,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1200,638.908864
3280,pick_next_task_dl,000,null,d,null,null,__schedule,null,pi_stress-1200,638.908867
3281,pick_next_task_rt,000,null,d,null,null,__schedule,null,pi_stress-1200,638.90887
3282,update_curr_rt,000,null,d,null,null,pick_next_task_rt,null,pi_stress-1200,638.908873
3283,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,null,pi_stress-1200,638.908876
3284,update_curr_rt,000,null,d,null,null,put_prev_task_rt,null,pi_stress-1200,638.908879
3285,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,null,pi_stress-1200,638.908884
3286,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,null,pi_stress-1200,638.908887
3287,vfp_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1200,638.90889
3288,thumbee_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1200,638.908893
3289,finish_task_switch,000,null,d,null,null,__schedule,null,pi_stress-1199,638.908896
3290,_cond_resched,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-1199,638.9089
3291,drop_futex_key_refs,000,null,null,null,null,futex_wait,null,pi_stress-1199,638.908903
3292,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-1199,638.908911
3293,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-1199,638.908914
3294,futex_wait,000,null,null,null,null,do_futex,null,pi_stress-1199,638.908917
3295,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-1199,638.90892
3296,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-1199,638.908923
3297,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-1199,638.908926
3298,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-1199,638.908929
3299,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-1199,638.908932
3300,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-1199,638.908936
3301,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-1199,638.908939
3302,rcu_sched_qs,000,null,d,null,null,__schedule,null,pi_stress-1199,638.908942
3303,update_rq_clock,000,null,d,null,null,__schedule,null,pi_stress-1199,638.908945
3304,deactivate_task,000,null,d,null,null,__schedule,null,pi_stress-1199,638.908949
3305,dequeue_task_rt,000,null,d,null,null,deactivate_task,null,pi_stress-1199,638.908952
3306,update_curr_rt,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1199,638.908955
3307,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,null,pi_stress-1199,638.908958
3308,cpuacct_charge,000,null,d,null,null,update_curr_rt,null,pi_stress-1199,638.908961
3309,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1199,638.908964
3310,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,null,pi_stress-1199,638.908967
3311,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1199,638.90897
3312,pick_next_task_dl,000,null,d,null,null,__schedule,null,pi_stress-1199,638.908974
3313,pick_next_task_rt,000,null,d,null,null,__schedule,null,pi_stress-1199,638.908976
3314,update_curr_rt,000,null,d,null,null,pick_next_task_rt,null,pi_stress-1199,638.908979
3315,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,null,pi_stress-1199,638.908982
3316,update_curr_rt,000,null,d,null,null,put_prev_task_rt,null,pi_stress-1199,638.908985
3317,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,null,pi_stress-1199,638.908991
3318,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,null,pi_stress-1199,638.908993
3319,vfp_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1199,638.908996
3320,thumbee_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1199,638.908999
3321,finish_task_switch,000,null,d,null,null,__schedule,null,pi_stress-1198,638.909003
3322,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-1198,638.90901
3323,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-1198,638.909013
3324,futex_wake,000,null,null,null,null,do_futex,null,pi_stress-1198,638.909016
3325,get_futex_key,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.909019
3326,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-1198,638.909022
3327,hash_futex,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.909025
3328,mark_wake_futex,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.909029
3329,__wake_q_add,000,null,null,null,null,mark_wake_futex,null,pi_stress-1198,638.909032
3330,__unqueue_futex,000,null,null,null,null,mark_wake_futex,null,pi_stress-1198,638.909035
3331,mark_wake_futex,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.909038
3332,__wake_q_add,000,null,null,null,null,mark_wake_futex,null,pi_stress-1198,638.909041
3333,__unqueue_futex,000,null,null,null,null,mark_wake_futex,null,pi_stress-1198,638.909044
3334,__wake_up_q,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.909047
3335,try_to_wake_up,000,null,null,null,null,__wake_up_q,null,pi_stress-1198,638.909055
3336,update_rq_clock,000,null,d,null,null,try_to_wake_up,null,pi_stress-1198,638.909058
3337,activate_task,000,null,d,null,null,try_to_wake_up,null,pi_stress-1198,638.909062
3338,enqueue_task_rt,000,null,d,null,null,activate_task,null,pi_stress-1198,638.909065
3339,dequeue_rt_stack,000,null,d,null,null,enqueue_task_rt,null,pi_stress-1198,638.909068
3340,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,null,pi_stress-1198,638.909071
3341,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,enqueue_task_rt,null,pi_stress-1198,638.909074
3342,check_preempt_curr,000,null,d,null,null,try_to_wake_up,null,pi_stress-1198,638.909077
3343,check_preempt_curr_rt,000,null,d,null,null,check_preempt_curr,null,pi_stress-1198,638.909081
3344,resched_curr,000,null,d,null,null,check_preempt_curr_rt,null,pi_stress-1198,638.909083
3345,ttwu_do_wakeup.part.18,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.909087
3346,try_to_wake_up,000,null,null,n,null,__wake_up_q,null,pi_stress-1198,638.909091
3347,update_rq_clock,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.909094
3348,activate_task,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.909098
3349,enqueue_task_rt,000,null,d,n,null,activate_task,null,pi_stress-1198,638.9091
3350,dequeue_rt_stack,000,null,d,n,null,enqueue_task_rt,null,pi_stress-1198,638.909103
3351,dequeue_top_rt_rq.constprop.9,000,null,d,n,null,dequeue_rt_stack,null,pi_stress-1198,638.909106
3352,enqueue_top_rt_rq.constprop.11,000,null,d,n,null,enqueue_task_rt,null,pi_stress-1198,638.90911
3353,check_preempt_curr,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.909113
3354,check_preempt_curr_rt,000,null,d,n,null,check_preempt_curr,null,pi_stress-1198,638.909116
3355,resched_curr,000,null,d,n,null,check_preempt_curr_rt,null,pi_stress-1198,638.909119
3356,ttwu_do_wakeup.part.18,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.909122
3357,drop_futex_key_refs,000,null,null,n,null,futex_wake,null,pi_stress-1198,638.909126
3358,do_work_pending,000,null,d,n,null,slow_work_pending,null,pi_stress-1198,638.909129
3359,schedule,000,null,d,n,null,do_work_pending,null,pi_stress-1198,638.909132
3360,rcu_sched_qs,000,null,d,n,null,__schedule,null,pi_stress-1198,638.909135
3361,update_rq_clock,000,null,d,n,null,__schedule,null,pi_stress-1198,638.909139
3362,pick_next_task_dl,000,null,d,n,null,__schedule,null,pi_stress-1198,638.909141
3363,pick_next_task_rt,000,null,d,n,null,__schedule,null,pi_stress-1198,638.909145
3364,update_curr_rt,000,null,d,n,null,pick_next_task_rt,null,pi_stress-1198,638.909147
3365,dbs_update_util_handler,000,null,d,n,null,update_curr_rt,null,pi_stress-1198,638.90915
3366,cpuacct_charge,000,null,d,n,null,update_curr_rt,null,pi_stress-1198,638.909154
3367,put_prev_task_rt,000,null,d,n,null,pick_next_task_rt,null,pi_stress-1198,638.909157
3368,update_curr_rt,000,null,d,n,null,put_prev_task_rt,null,pi_stress-1198,638.90916
3369,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,null,pi_stress-1198,638.909165
3370,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,null,pi_stress-1198,638.909168
3371,vfp_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1198,638.90917
3372,thumbee_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1198,638.909173
3373,finish_task_switch,000,null,d,null,null,__schedule,null,pi_stress-1200,638.909177
3374,_cond_resched,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-1200,638.90918
3375,drop_futex_key_refs,000,null,null,null,null,futex_wait,null,pi_stress-1200,638.909184
3376,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-1200,638.909189
3377,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-1200,638.909192
3378,futex_wait,000,null,null,null,null,do_futex,null,pi_stress-1200,638.909195
3379,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-1200,638.909199
3380,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-1200,638.909201
3381,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-1200,638.909204
3382,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-1200,638.909208
3383,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-1200,638.90921
3384,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-1200,638.909214
3385,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-1200,638.909217
3386,rcu_sched_qs,000,null,d,null,null,__schedule,null,pi_stress-1200,638.909221
3387,update_rq_clock,000,null,d,null,null,__schedule,null,pi_stress-1200,638.909224
3388,deactivate_task,000,null,d,null,null,__schedule,null,pi_stress-1200,638.909227
3389,dequeue_task_rt,000,null,d,null,null,deactivate_task,null,pi_stress-1200,638.90923
3390,update_curr_rt,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1200,638.909233
3391,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,null,pi_stress-1200,638.909236
3392,cpuacct_charge,000,null,d,null,null,update_curr_rt,null,pi_stress-1200,638.909239
3393,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1200,638.909243
3394,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,null,pi_stress-1200,638.909245
3395,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1200,638.909249
3396,pick_next_task_dl,000,null,d,null,null,__schedule,null,pi_stress-1200,638.909252
3397,pick_next_task_rt,000,null,d,null,null,__schedule,null,pi_stress-1200,638.909255
3398,update_curr_rt,000,null,d,null,null,pick_next_task_rt,null,pi_stress-1200,638.909258
