# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222900
#
# Overhead  Trace output                                            
# ........  ........................................................
#
     0.00%  cyclictest:32353 [0] S ==> wicd:32362 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32390 [120]
     0.00%  dbus-daemon:518 [120] R ==> kworker/0:0:32281 [120]
     0.00%  ifconfig:32354 [120] R ==> cyclictest:32353 [0]
     0.00%  ksoftirqd/0:7 [120] S ==> sshd:32356 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> sshd:32370 [120]
     0.00%  kworker/0:0:32281 [120] t ==> sshd:32367 [120]
     0.00%  kworker/0:1H:96 [100] t ==> jbd2/mmcblk1p2-:97 [120]
     0.00%  ps:32388 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  rs:main Q:Reg:626 [120] S ==> systemd-journal:118 [120]
     0.00%  sshd:19316 [120] R ==> cyclictest:32353 [0]
     0.00%  sshd:32355 [120] R ==> sshd:32356 [120]
     0.00%  sshd:32356 [120] R ==> kworker/0:0:32281 [120]
     0.00%  sshd:32368 [120] R ==> kworker/0:0:32281 [120]
     0.00%  sshd:32368 [120] R ==> sshd:32369 [120]
     0.00%  wicd:32357 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32365 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32371 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32376 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32389 [120] R ==> cyclictest:32353 [0]
     0.00%  cyclictest:32353 [0] S ==> ls:32377 [120]
     0.00%  cyclictest:32353 [0] S ==> sshd:740 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32357 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32361 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32363 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32366 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32371 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32389 [120]
     0.00%  ifconfig:32359 [120] R ==> cyclictest:32353 [0]
     0.00%  ksoftirqd/0:7 [120] S ==> sshd:32369 [120]
     0.00%  kworker/0:0:32281 [120] t ==> kworker/u2:1:27770 [120]
     0.00%  kworker/0:0:32281 [120] t ==> sshd:32356 [120]
     0.00%  ls:32378 [120] S ==> ls:32379 [120]
     0.00%  ls:32380 [120] R ==> ksoftirqd/0:7 [120]
