# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222876
#
# Overhead  Trace output                                            
# ........  ........................................................
#
     0.01%  wicd:984 [120] S ==> ksoftirqd/0:7 [120]
     0.01%  dbus-daemon:518 [120] S ==> .koworker:1019 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> cyclictest:32205 [0]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32210 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32229 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32236 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> rsyslogd:627 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32226 [120]
     0.01%  kworker/0:1H:96 [100] t ==> mmcqd/1:89 [120]
     0.01%  kworker/u2:0:32178 [120] t ==> cyclictest:32204 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32224 [120]
     0.01%  wicd:984 [120] R ==> kworker/0:1:32113 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32224 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32229 [120]
     0.01%  sshd:32224 [120] R ==> cyclictest:32204 [120]
     0.01%  sshd:32224 [120] R ==> kworker/0:1:32113 [120]
     0.01%  sshd:32228 [120] R ==> kworker/0:1:32113 [120]
     0.01%  mmcqd/1:89 [120] S ==> .koworker:1016 [120]
     0.01%  mmcqd/1:89 [120] S ==> perf:32202 [120]
     0.01%  sshd:32223 [120] R ==> cyclictest:32204 [120]
     0.01%  sshd:32229 [120] R ==> cyclictest:32204 [120]
     0.01%  sshd:32233 [120] R ==> kworker/0:1:32113 [120]
     0.01%  sshd:32236 [120] R ==> kworker/0:1:32113 [120]
     0.01%  wicd:984 [120] R ==> cyclictest:32204 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32223 [120]
     0.01%  ksoftirqd/0:7 [120] S ==> sshd:32234 [120]
     0.01%  kworker/0:1:32113 [120] t ==> sshd:32224 [120]
     0.01%  kworker/0:1:32113 [120] t ==> sshd:32228 [120]
     0.01%  kworker/0:1:32113 [120] t ==> sshd:32236 [120]
     0.01%  kworker/0:1:32113 [120] t ==> wicd:984 [120]
     0.01%  mmcqd/1:89 [120] S ==> jbd2/mmcblk1p2-:97 [120]
     0.01%  sshd:27636 [120] S ==> wicd-monitor:990 [120]
     0.01%  sshd:32229 [120] S ==> sshd:32228 [120]
